head_entity,head_entity_label,relation,tail_entity,tail_entity_label,context
思政,PER,任职,侍中,OFI,有帐下督雷五安于战处哭求思政，会已苏，遂相得。乃割衣裹创，扶思政上马，夜久方得还军。仍镇弘农，除侍中、东道行台。
思政,PER,任职,東道行臺,OFI,有帐下督雷五安于战处哭求思政，会已苏，遂相得。乃割衣裹创，扶思政上马，夜久方得还军。仍镇弘农，除侍中、东道行台。
蔡珍,PER,任职,都漕運司,OFI,帝临幸，问其故，近臣以蔡珍号令严肃为对，帝嘉之，赏以钞若干。二十一年，改授胶东海道都漕运司丁壮万户府都镇抚。
帝,PER,上下级,蔡珍,PER,帝临幸，问其故，近臣以蔡珍号令严肃为对，帝嘉之，赏以钞若干。二十一年，改授胶东海道都漕运司丁壮万户府都镇抚。
蔡珍,PER,管理,膠東海道,LOC,帝临幸，问其故，近臣以蔡珍号令严肃为对，帝嘉之，赏以钞若干。二十一年，改授胶东海道都漕运司丁壮万户府都镇抚。
蔡珍,PER,任职,丁壯萬戶府,OFI,帝临幸，问其故，近臣以蔡珍号令严肃为对，帝嘉之，赏以钞若干。二十一年，改授胶东海道都漕运司丁壮万户府都镇抚。
蔡珍,PER,任职,都鎮撫,OFI,帝临幸，问其故，近臣以蔡珍号令严肃为对，帝嘉之，赏以钞若干。二十一年，改授胶东海道都漕运司丁壮万户府都镇抚。
文本,PER,任职,中書侍郎,OFI,」太宗曰：「我自举一人，公勿忧也。」于是以文本为中书侍郎，专典机密。
太宗,PER,上下级,文本,PER,」太宗曰：「我自举一人，公勿忧也。」于是以文本为中书侍郎，专典机密。
常哥,PER,任职,南院宣徽使,OFI,常哥魁伟寡言。年三十馀，始为祗候郎君。历本族将军、松山州刺史。寿隆二年，以女为燕王妃，拜永兴宫使。及妃生子，为南院宣徽使，寻改汉人行宫都部署。
常哥,PER,任职,漢人行宮都部署,OFI,常哥魁伟寡言。年三十馀，始为祗候郎君。历本族将军、松山州刺史。寿隆二年，以女为燕王妃，拜永兴宫使。及妃生子，为南院宣徽使，寻改汉人行宫都部署。
常哥,PER,任职,永興宮使,OFI,常哥魁伟寡言。年三十馀，始为祗候郎君。历本族将军、松山州刺史。寿隆二年，以女为燕王妃，拜永兴宫使。及妃生子，为南院宣徽使，寻改汉人行宫都部署。
常哥,PER,任职,祗候郎君,OFI,常哥魁伟寡言。年三十馀，始为祗候郎君。历本族将军、松山州刺史。寿隆二年，以女为燕王妃，拜永兴宫使。及妃生子，为南院宣徽使，寻改汉人行宫都部署。
常哥,PER,任职,本族將軍,OFI,常哥魁伟寡言。年三十馀，始为祗候郎君。历本族将军、松山州刺史。寿隆二年，以女为燕王妃，拜永兴宫使。及妃生子，为南院宣徽使，寻改汉人行宫都部署。
常哥,PER,任职,刺史,OFI,常哥魁伟寡言。年三十馀，始为祗候郎君。历本族将军、松山州刺史。寿隆二年，以女为燕王妃，拜永兴宫使。及妃生子，为南院宣徽使，寻改汉人行宫都部署。
常哥,PER,管理,松山州,LOC,常哥魁伟寡言。年三十馀，始为祗候郎君。历本族将军、松山州刺史。寿隆二年，以女为燕王妃，拜永兴宫使。及妃生子，为南院宣徽使，寻改汉人行宫都部署。
火你赤,PER,驻守,江西,LOC,丁亥，江西左丞火你赤以兵平富州、临江，遂引兵复瑞州。
火你赤,PER,任职,左丞,OFI,丁亥，江西左丞火你赤以兵平富州、临江，遂引兵复瑞州。
火你赤,PER,敌对攻伐,富州,LOC,丁亥，江西左丞火你赤以兵平富州、临江，遂引兵复瑞州。
火你赤,PER,敌对攻伐,臨江,LOC,丁亥，江西左丞火你赤以兵平富州、临江，遂引兵复瑞州。
火你赤,PER,到达,瑞州,LOC,丁亥，江西左丞火你赤以兵平富州、临江，遂引兵复瑞州。
唐兀台,PER,任职,元帥,OFI,继奉旨与元帅唐兀台改立蕲黄等路都元帅府，仍管领本道镇守军马。二十年，广东盗起，遏绝占城粮运。二十一年，玉率兵讨平之。
唐兀台,PER,管理,蘄黃,LOC,继奉旨与元帅唐兀台改立蕲黄等路都元帅府，仍管领本道镇守军马。二十年，广东盗起，遏绝占城粮运。二十一年，玉率兵讨平之。
唐兀台,PER,任职,都元帥府,OFI,继奉旨与元帅唐兀台改立蕲黄等路都元帅府，仍管领本道镇守军马。二十年，广东盗起，遏绝占城粮运。二十一年，玉率兵讨平之。
李訓,PER,驻守,東都,LOC,郭行馀者，亦登进士第。大和初，累官至楚州刺史。五年，移刺汝州，兼御史中丞。九月，入为大理卿。李训在东都时，与行馀亲善，行馀数相饷遗，至是用为九列。
李訓,PER,政治奥援,行餘,PER,郭行馀者，亦登进士第。大和初，累官至楚州刺史。五年，移刺汝州，兼御史中丞。九月，入为大理卿。李训在东都时，与行馀亲善，行馀数相饷遗，至是用为九列。
郭行餘,PER,任职,進士,OFI,郭行馀者，亦登进士第。大和初，累官至楚州刺史。五年，移刺汝州，兼御史中丞。九月，入为大理卿。李训在东都时，与行馀亲善，行馀数相饷遗，至是用为九列。
郭行餘,PER,任职,刺史,OFI,郭行馀者，亦登进士第。大和初，累官至楚州刺史。五年，移刺汝州，兼御史中丞。九月，入为大理卿。李训在东都时，与行馀亲善，行馀数相饷遗，至是用为九列。
郭行餘,PER,管理,楚州,LOC,郭行馀者，亦登进士第。大和初，累官至楚州刺史。五年，移刺汝州，兼御史中丞。九月，入为大理卿。李训在东都时，与行馀亲善，行馀数相饷遗，至是用为九列。
郭行餘,PER,管理,汝州,LOC,郭行馀者，亦登进士第。大和初，累官至楚州刺史。五年，移刺汝州，兼御史中丞。九月，入为大理卿。李训在东都时，与行馀亲善，行馀数相饷遗，至是用为九列。
郭行餘,PER,任职,御史中丞,OFI,郭行馀者，亦登进士第。大和初，累官至楚州刺史。五年，移刺汝州，兼御史中丞。九月，入为大理卿。李训在东都时，与行馀亲善，行馀数相饷遗，至是用为九列。
郭行餘,PER,任职,大理卿,OFI,郭行馀者，亦登进士第。大和初，累官至楚州刺史。五年，移刺汝州，兼御史中丞。九月，入为大理卿。李训在东都时，与行馀亲善，行馀数相饷遗，至是用为九列。
藥剌海,PER,任职,招討使,OFI,亦奚不薛蛮叛，从招讨使药剌海讨平之。行省也速带儿讨都掌、乌蒙、蚁子诸蛮，战于鸭楼关，狗狗最有功。
藥剌海,PER,敌对攻伐,不薛蠻,LOC,亦奚不薛蛮叛，从招讨使药剌海讨平之。行省也速带儿讨都掌、乌蒙、蚁子诸蛮，战于鸭楼关，狗狗最有功。
藥剌海,PER,敌对攻伐,亦奚,LOC,亦奚不薛蛮叛，从招讨使药剌海讨平之。行省也速带儿讨都掌、乌蒙、蚁子诸蛮，战于鸭楼关，狗狗最有功。
也速帶兒,PER,敌对攻伐,烏蒙,LOC,亦奚不薛蛮叛，从招讨使药剌海讨平之。行省也速带儿讨都掌、乌蒙、蚁子诸蛮，战于鸭楼关，狗狗最有功。
也速帶兒,PER,敌对攻伐,蟻子,LOC,亦奚不薛蛮叛，从招讨使药剌海讨平之。行省也速带儿讨都掌、乌蒙、蚁子诸蛮，战于鸭楼关，狗狗最有功。
也速帶兒,PER,敌对攻伐,蠻,LOC,亦奚不薛蛮叛，从招讨使药剌海讨平之。行省也速带儿讨都掌、乌蒙、蚁子诸蛮，战于鸭楼关，狗狗最有功。
也速帶兒,PER,到达,鴨樓關,LOC,亦奚不薛蛮叛，从招讨使药剌海讨平之。行省也速带儿讨都掌、乌蒙、蚁子诸蛮，战于鸭楼关，狗狗最有功。
也速帶兒,PER,政治奥援,狗狗,PER,亦奚不薛蛮叛，从招讨使药剌海讨平之。行省也速带儿讨都掌、乌蒙、蚁子诸蛮，战于鸭楼关，狗狗最有功。
李嗣昭,PER,敌对攻伐,潞州,LOC,以李嗣昭为都指挥使，进攻潞州。
李嗣昭,PER,任职,都指揮使,OFI,以李嗣昭为都指挥使，进攻潞州。
李嗣昭,PER,敌对攻伐,氏叔琮,PER,五月，汴军皆退。氏叔琮军出石会，周德威、李嗣昭以精骑五千蹑之，杀戮万计。
周德威,PER,敌对攻伐,氏叔琮,PER,五月，汴军皆退。氏叔琮军出石会，周德威、李嗣昭以精骑五千蹑之，杀戮万计。
周德威,PER,政治奥援,李嗣昭,PER,五月，汴军皆退。氏叔琮军出石会，周德威、李嗣昭以精骑五千蹑之，杀戮万计。
氏叔琮,PER,到达,石會,LOC,五月，汴军皆退。氏叔琮军出石会，周德威、李嗣昭以精骑五千蹑之，杀戮万计。
寧,PER,任职,樞密院,OFI,及枢密院拟宁袭武职，宁让其兄宏，于是授宏中卫都指挥使，佩父虎符，而以宁代宏为千户，佩金符。
宏,PER,任职,都指揮使,OFI,及枢密院拟宁袭武职，宁让其兄宏，于是授宏中卫都指挥使，佩父虎符，而以宁代宏为千户，佩金符。
寧,PER,任职,千戶,OFI,及枢密院拟宁袭武职，宁让其兄宏，于是授宏中卫都指挥使，佩父虎符，而以宁代宏为千户，佩金符。
宏,PER,任职,中衛,OFI,及枢密院拟宁袭武职，宁让其兄宏，于是授宏中卫都指挥使，佩父虎符，而以宁代宏为千户，佩金符。
宏,PER,兄弟,寧,PER,及枢密院拟宁袭武职，宁让其兄宏，于是授宏中卫都指挥使，佩父虎符，而以宁代宏为千户，佩金符。
斛律光,PER,任职,右丞相,OFI,是月，周又遣将寇边。右丞相斛律光先率师出讨，韶亦请行。
沈,PER,任职,丞相掾,OFI,祖沈，丞相掾。父廞，光禄大夫。
沈,PER,父母,廞,PER,祖沈，丞相掾。父廞，光禄大夫。
廞,PER,任职,光祿大夫,OFI,祖沈，丞相掾。父廞，光禄大夫。
運,PER,任职,宮正,OFI,宣帝即位，授上柱国。运之为宫正也，数进谏于帝。
文襄,PER,敌对攻伐,王大將軍,PER,先是，文襄告城中人曰：「有能生致王大将军者，封侯重赏。
思恭,PER,任职,天水郡侯,OFI,子思恭，追封天水郡侯；思敬，以处士征为教授。
再榮,PER,敌对攻伐,崧,PER,司天监赵延乂俱与之善，乃来往解释，遂无相忌之意。再荣以李崧、和凝携家在彼，令军士数百人环迫崧、凝，以求赏给。
再榮,PER,敌对攻伐,凝,PER,司天监赵延乂俱与之善，乃来往解释，遂无相忌之意。再荣以李崧、和凝携家在彼，令军士数百人环迫崧、凝，以求赏给。
再榮,PER,敌对攻伐,和凝,PER,司天监赵延乂俱与之善，乃来往解释，遂无相忌之意。再荣以李崧、和凝携家在彼，令军士数百人环迫崧、凝，以求赏给。
再榮,PER,敌对攻伐,李崧,PER,司天监赵延乂俱与之善，乃来往解释，遂无相忌之意。再荣以李崧、和凝携家在彼，令军士数百人环迫崧、凝，以求赏给。
趙延乂,PER,任职,司天監,OFI,司天监赵延乂俱与之善，乃来往解释，遂无相忌之意。再荣以李崧、和凝携家在彼，令军士数百人环迫崧、凝，以求赏给。
凝,PER,政治奥援,崧,PER,司天监赵延乂俱与之善，乃来往解释，遂无相忌之意。再荣以李崧、和凝携家在彼，令军士数百人环迫崧、凝，以求赏给。
李崧,PER,政治奥援,和凝,PER,司天监赵延乂俱与之善，乃来往解释，遂无相忌之意。再荣以李崧、和凝携家在彼，令军士数百人环迫崧、凝，以求赏给。
武皇,PER,任职,太祖,OFI,天祐五年正月戊子朔，武皇疾革。辛卯，崩于晋阳，年五十三。遗令薄葬，发丧后二十七日除服。庄宗即位，追諡武皇帝，庙号太祖，陵在雁门。
武皇,PER,父母,莊宗,PER,天祐五年正月戊子朔，武皇疾革。辛卯，崩于晋阳，年五十三。遗令薄葬，发丧后二十七日除服。庄宗即位，追諡武皇帝，庙号太祖，陵在雁门。
武皇,PER,任职,武皇帝,OFI,天祐五年正月戊子朔，武皇疾革。辛卯，崩于晋阳，年五十三。遗令薄葬，发丧后二十七日除服。庄宗即位，追諡武皇帝，庙号太祖，陵在雁门。
友倫,PER,敌对攻伐,罕之,PER,李罕之以潞州降梁，晋人攻潞，友伦以兵入潞州，取罕之以归。累迁检校司空，领藤州刺史。
友倫,PER,敌对攻伐,李罕之,PER,李罕之以潞州降梁，晋人攻潞，友伦以兵入潞州，取罕之以归。累迁检校司空，领藤州刺史。
友倫,PER,管理,藤州,LOC,李罕之以潞州降梁，晋人攻潞，友伦以兵入潞州，取罕之以归。累迁检校司空，领藤州刺史。
友倫,PER,任职,刺史,OFI,李罕之以潞州降梁，晋人攻潞，友伦以兵入潞州，取罕之以归。累迁检校司空，领藤州刺史。
友倫,PER,任职,檢校司空,OFI,李罕之以潞州降梁，晋人攻潞，友伦以兵入潞州，取罕之以归。累迁检校司空，领藤州刺史。
李罕之,PER,任职,刺史,OFI,李罕之以潞州降梁，晋人攻潞，友伦以兵入潞州，取罕之以归。累迁检校司空，领藤州刺史。
李罕之,PER,任职,檢校司空,OFI,李罕之以潞州降梁，晋人攻潞，友伦以兵入潞州，取罕之以归。累迁检校司空，领藤州刺史。
友倫,PER,到达,潞州,LOC,李罕之以潞州降梁，晋人攻潞，友伦以兵入潞州，取罕之以归。累迁检校司空，领藤州刺史。
李罕之,PER,驻守,潞州,LOC,李罕之以潞州降梁，晋人攻潞，友伦以兵入潞州，取罕之以归。累迁检校司空，领藤州刺史。
德裕,PER,敌对攻伐,李璮,PER,中统三年，李璮平，世祖命德裕曲赦益都。四年，赐金符，为阆蓬等处都元帅府参议
世祖,PER,敌对攻伐,李璮,PER,中统三年，李璮平，世祖命德裕曲赦益都。四年，赐金符，为阆蓬等处都元帅府参议
德裕,PER,任职,都元帥府參議,OFI,中统三年，李璮平，世祖命德裕曲赦益都。四年，赐金符，为阆蓬等处都元帅府参议
世祖,PER,上下级,德裕,PER,中统三年，李璮平，世祖命德裕曲赦益都。四年，赐金符，为阆蓬等处都元帅府参议
德裕,PER,管理,閬蓬,LOC,中统三年，李璮平，世祖命德裕曲赦益都。四年，赐金符，为阆蓬等处都元帅府参议
裕,PER,任职,輔國將軍,OFI,盛弟裕，辅国将军、中散大夫。
裕,PER,任职,中散大夫,OFI,盛弟裕，辅国将军、中散大夫。
盛,PER,兄弟,裕,PER,盛弟裕，辅国将军、中散大夫。
斯,PER,同僚,高,PER,赞曰：奭、旦兴周，斯、高亡秦。
奭,PER,同僚,旦,PER,赞曰：奭、旦兴周，斯、高亡秦。
贊婆,PER,驻守,河源,LOC,赞婆即领部兵戍河源，死，赠安西大都护。
贊婆,PER,任职,安西大都護,OFI,赞婆即领部兵戍河源，死，赠安西大都护。
武皇,PER,敌对攻伐,邢州,LOC,武皇进围邢州。十月，武皇狩于近郊，获白兔，有角长三寸。
崇,PER,敌对攻伐,高車,LOC,太祖为魏王，拜崇征虏将军。从平中原，赐爵历阳公，散骑常侍。后迁太尉，加侍中，徙为安邑公。又从征高车，大胜而还。
崇,PER,任职,侍中,OFI,太祖为魏王，拜崇征虏将军。从平中原，赐爵历阳公，散骑常侍。后迁太尉，加侍中，徙为安邑公。又从征高车，大胜而还。
崇,PER,任职,散騎常侍,OFI,太祖为魏王，拜崇征虏将军。从平中原，赐爵历阳公，散骑常侍。后迁太尉，加侍中，徙为安邑公。又从征高车，大胜而还。
崇,PER,任职,太尉,OFI,太祖为魏王，拜崇征虏将军。从平中原，赐爵历阳公，散骑常侍。后迁太尉，加侍中，徙为安邑公。又从征高车，大胜而还。
崇,PER,任职,征虜將軍,OFI,太祖为魏王，拜崇征虏将军。从平中原，赐爵历阳公，散骑常侍。后迁太尉，加侍中，徙为安邑公。又从征高车，大胜而还。
崇,PER,任职,歷陽公,OFI,太祖为魏王，拜崇征虏将军。从平中原，赐爵历阳公，散骑常侍。后迁太尉，加侍中，徙为安邑公。又从征高车，大胜而还。
崇,PER,任职,安邑公,OFI,太祖为魏王，拜崇征虏将军。从平中原，赐爵历阳公，散骑常侍。后迁太尉，加侍中，徙为安邑公。又从征高车，大胜而还。
太祖,PER,任职,魏王,OFI,太祖为魏王，拜崇征虏将军。从平中原，赐爵历阳公，散骑常侍。后迁太尉，加侍中，徙为安邑公。又从征高车，大胜而还。
太祖,PER,上下级,崇,PER,太祖为魏王，拜崇征虏将军。从平中原，赐爵历阳公，散骑常侍。后迁太尉，加侍中，徙为安邑公。又从征高车，大胜而还。
李氏,PER,任职,昭容,OFI,昭容李氏，亦以色进。
勤,PER,管理,光,LOC,迥所管相、卫、黎、毛、洺、贝、赵、冀、瀛、沧，勤所统青、齐、胶、光、莒诸州皆从之，众数十万。
迥,PER,管理,黎,LOC,迥所管相、卫、黎、毛、洺、贝、赵、冀、瀛、沧，勤所统青、齐、胶、光、莒诸州皆从之，众数十万。
勤,PER,管理,莒,LOC,迥所管相、卫、黎、毛、洺、贝、赵、冀、瀛、沧，勤所统青、齐、胶、光、莒诸州皆从之，众数十万。
勤,PER,管理,青,LOC,迥所管相、卫、黎、毛、洺、贝、赵、冀、瀛、沧，勤所统青、齐、胶、光、莒诸州皆从之，众数十万。
勤,PER,管理,膠,LOC,迥所管相、卫、黎、毛、洺、贝、赵、冀、瀛、沧，勤所统青、齐、胶、光、莒诸州皆从之，众数十万。
迥,PER,管理,毛,LOC,迥所管相、卫、黎、毛、洺、贝、赵、冀、瀛、沧，勤所统青、齐、胶、光、莒诸州皆从之，众数十万。
迥,PER,管理,洺,LOC,迥所管相、卫、黎、毛、洺、贝、赵、冀、瀛、沧，勤所统青、齐、胶、光、莒诸州皆从之，众数十万。
勤,PER,管理,齊,LOC,迥所管相、卫、黎、毛、洺、贝、赵、冀、瀛、沧，勤所统青、齐、胶、光、莒诸州皆从之，众数十万。
迥,PER,管理,冀,LOC,迥所管相、卫、黎、毛、洺、贝、赵、冀、瀛、沧，勤所统青、齐、胶、光、莒诸州皆从之，众数十万。
迥,PER,管理,趙,LOC,迥所管相、卫、黎、毛、洺、贝、赵、冀、瀛、沧，勤所统青、齐、胶、光、莒诸州皆从之，众数十万。
迥,PER,管理,滄,LOC,迥所管相、卫、黎、毛、洺、贝、赵、冀、瀛、沧，勤所统青、齐、胶、光、莒诸州皆从之，众数十万。
迥,PER,管理,瀛,LOC,迥所管相、卫、黎、毛、洺、贝、赵、冀、瀛、沧，勤所统青、齐、胶、光、莒诸州皆从之，众数十万。
迥,PER,管理,衛,LOC,迥所管相、卫、黎、毛、洺、贝、赵、冀、瀛、沧，勤所统青、齐、胶、光、莒诸州皆从之，众数十万。
